path,copy,elbo_Y,rmsd,gdt_ts,gdt_ha,tm,lddt
./structures/1a/1ael.A.pdb,0,0.289995014667511,2.113,0.7195,0.4866,0.8287,0.6606
./structures/1a/1ael.A.pdb,1,0.25783011317253113,2.273,0.6908,0.4618,0.8073,0.6281
./structures/1a/1ael.A.pdb,2,0.23017297685146332,2.257,0.7137,0.4828,0.8134,0.6509
./structures/1a/1ael.A.pdb,3,0.2344723492860794,2.118,0.7214,0.4905,0.8283,0.6565
./structures/1a/1ael.A.pdb,4,0.2084459364414215,2.151,0.7061,0.4733,0.821,0.6418
./structures/1b/1bv2.A.pdb,0,0.29017752408981323,1.604,0.8297,0.6291,0.8496,0.7847
./structures/1b/1bv2.A.pdb,1,0.3045203387737274,1.596,0.8187,0.6071,0.8494,0.7817
./structures/1b/1bv2.A.pdb,2,0.2688099145889282,1.521,0.8407,0.6401,0.8609,0.7911
./structures/1b/1bv2.A.pdb,3,0.2925785779953003,1.588,0.8352,0.6429,0.8539,0.7936
./structures/1b/1bv2.A.pdb,4,0.24828320741653442,1.682,0.8132,0.6126,0.8374,0.7796
./structures/1c/1c54.A.pdb,0,0.30245158076286316,1.353,0.8542,0.6432,0.8885,0.8123
./structures/1c/1c54.A.pdb,1,0.23465147614479065,1.459,0.849,0.6406,0.8766,0.8
./structures/1c/1c54.A.pdb,2,0.2112022042274475,1.32,0.8542,0.6562,0.8918,0.8131
./structures/1c/1c54.A.pdb,3,0.19947156310081482,1.386,0.862,0.6641,0.8888,0.8084
./structures/1c/1c54.A.pdb,4,0.3598533272743225,1.4,0.8594,0.6536,0.8866,0.8165
./structures/1e/1eal.A.pdb,0,0.09067829698324203,2.171,0.75,0.5236,0.8308,0.7649
./structures/1e/1eal.A.pdb,1,0.0486353300511837,1.996,0.7579,0.5335,0.8435,0.7696
./structures/1e/1eal.A.pdb,2,0.07949457317590714,1.986,0.7835,0.5591,0.8519,0.779
./structures/1e/1eal.A.pdb,3,0.0851912721991539,1.89,0.7756,0.5531,0.8545,0.7774
./structures/1e/1eal.A.pdb,4,0.09141039848327637,1.877,0.7736,0.5492,0.8582,0.7756
./structures/1f/1f3y.A.pdb,0,0.06816478818655014,5.123,0.7545,0.5591,0.8293,0.7782
./structures/1f/1f3y.A.pdb,1,0.0377272292971611,2.899,0.7758,0.5773,0.8344,0.8147
./structures/1f/1f3y.A.pdb,2,0.04966617748141289,3.594,0.7682,0.5712,0.8198,0.7967
./structures/1f/1f3y.A.pdb,3,0.04853380098938942,4.018,0.7697,0.5788,0.8224,0.7996
./structures/1f/1f3y.A.pdb,4,0.13295398652553558,4.286,0.747,0.5561,0.8121,0.7726
./structures/1f/1fmf.A.pdb,0,0.06848227232694626,2.292,0.8102,0.5967,0.8824,0.7635
./structures/1f/1fmf.A.pdb,1,-0.0029626735486090183,2.234,0.7701,0.5493,0.8617,0.7403
./structures/1f/1fmf.A.pdb,2,-0.0449371337890625,2.308,0.7883,0.573,0.8666,0.7431
./structures/1f/1fmf.A.pdb,3,-0.002034206176176667,2.04,0.8102,0.5931,0.881,0.7694
./structures/1f/1fmf.A.pdb,4,0.04475215822458267,2.06,0.8102,0.5912,0.8834,0.7704
./structures/1g/1gh1.A.pdb,0,0.36177897453308105,2.301,0.7444,0.5306,0.7813,0.6908
./structures/1g/1gh1.A.pdb,1,0.3741660416126251,2.382,0.75,0.5306,0.7748,0.6846
./structures/1g/1gh1.A.pdb,2,0.3049304485321045,2.404,0.7444,0.5278,0.7762,0.6836
./structures/1g/1gh1.A.pdb,3,0.3651568293571472,2.407,0.7361,0.5167,0.772,0.6859
./structures/1g/1gh1.A.pdb,4,0.3183233141899109,2.4,0.7417,0.5222,0.7707,0.6817
./structures/1g/1gqn.A.pdb,0,0.3532632291316986,1.331,0.9623,0.8294,0.9725,0.9358
./structures/1g/1gqn.A.pdb,1,0.34101948142051697,1.432,0.9583,0.8135,0.97,0.9319
./structures/1g/1gqn.A.pdb,2,0.2799493074417114,1.412,0.9573,0.8026,0.97,0.9271
./structures/1g/1gqn.A.pdb,3,0.3595472574234009,1.345,0.9633,0.8472,0.9744,0.9532
./structures/1g/1gqn.A.pdb,4,0.3110009729862213,0.94,0.9722,0.8641,0.9812,0.9519
./structures/1g/1gqz.A.pdb,0,0.24860879778862,1.619,0.8376,0.6743,0.9392,0.9009
