path,copy,elbo_Y,rmsd,gdt_ts,gdt_ha,tm,lddt
./structures/1k/1k0n.A.pdb,0,0.19391395151615143,1.07,0.9513,0.8053,0.9726,0.9124
./structures/1k/1k0n.A.pdb,1,0.1654917448759079,1.231,0.9369,0.7666,0.9663,0.9025
./structures/1k/1k0n.A.pdb,2,0.22404472529888153,1.029,0.9425,0.7987,0.9724,0.919
./structures/1k/1k0n.A.pdb,3,0.1360597461462021,1.317,0.9403,0.7843,0.9683,0.9043
./structures/1k/1k0n.A.pdb,4,0.20837420225143433,1.191,0.9469,0.8097,0.9702,0.9144
./structures/1m/1mnm.C.pdb,0,-0.5750253200531006,8.008,0.7143,0.6623,0.7023,0.779
./structures/1m/1mnm.C.pdb,1,-0.3335464894771576,7.123,0.7857,0.6916,0.7355,0.8161
./structures/1m/1mnm.C.pdb,2,-0.6268307566642761,5.85,0.737,0.6494,0.7126,0.7642
./structures/1m/1mnm.C.pdb,3,-0.5649343132972717,5.538,0.7468,0.6818,0.7331,0.7982
./structures/1m/1mnm.C.pdb,4,-0.4034249484539032,9.08,0.7338,0.6818,0.7184,0.8016
./structures/1n/1nqj.B.pdb,0,0.16496741771697998,6.703,0.8618,0.7544,0.8498,0.8683
./structures/1n/1nqj.B.pdb,1,0.1391885131597519,6.849,0.8618,0.7763,0.8511,0.8675
./structures/1n/1nqj.B.pdb,2,0.23498086631298065,7.166,0.8662,0.7741,0.8553,0.8656
./structures/1n/1nqj.B.pdb,3,0.2196023315191269,7.302,0.8618,0.7763,0.8516,0.8693
./structures/1n/1nqj.B.pdb,4,0.22488144040107727,6.806,0.8662,0.7675,0.8525,0.8705
./structures/1n/1noc.A.pdb,0,-0.7491526007652283,28.169,0.1075,0.0598,0.211,0.302
./structures/1n/1noc.A.pdb,1,-0.8782601356506348,34.931,0.0961,0.0585,0.1819,0.2583
./structures/1n/1noc.A.pdb,2,-0.764378011226654,33.46,0.1196,0.0625,0.2477,0.2794
./structures/1n/1noc.A.pdb,3,-0.7910621166229248,34.016,0.1102,0.0652,0.2045,0.2804
./structures/1n/1noc.A.pdb,4,-0.7390469908714294,33.634,0.1149,0.0632,0.2336,0.2744
./structures/1q/1qs8.B.pdb,0,0.14114919304847717,1.567,0.8613,0.6814,0.9562,0.8963
./structures/1q/1qs8.B.pdb,1,0.1750771701335907,1.365,0.8925,0.7172,0.9654,0.8969
./structures/1q/1qs8.B.pdb,2,0.2009306401014328,1.328,0.9108,0.7515,0.9681,0.9039
./structures/1q/1qs8.B.pdb,3,0.1364508420228958,1.377,0.9078,0.7515,0.9665,0.8914
./structures/1q/1qs8.B.pdb,4,0.14233006536960602,1.416,0.8849,0.7111,0.963,0.8989
